Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
36.8	0.68	0.7	0.65	0.72	0.81
36.9	0.76	0.64	0.96	0.81	0.78
37.0	0.75	0.71	0.5	0.79	0.77
37.1	0.58	0.73	0.65	0.77	0.69
37.2	0.29	0.91	0.66	0.75	0.78
37.3	0.65	0.59	0.66	0.88	0.72
37.4	0.61	0.64	0.63	0.82	0.74
37.5	0.65	0.62	0.77	0.84	0.7
37.6	0.76	0.72	0.86	0.77	0.75
37.7	0.73	0.7	0.9	0.8	0.74
37.8	0.71	0.62	0.87	0.81	0.7
37.9	0.7	0.7	0.84	0.77	0.63
38.0	0.83	0.7	0.7	0.79	0.75
38.1	0.77	0.64	0.6	0.75	0.75
38.2	0.74	0.65	0.85	0.81	0.68
38.3	0.78	0.77	1.07	0.74	0.75
38.4	0.74	0.7	0.94	0.81	0.71
38.5	0.75	0.77	0.96	0.76	0.73
38.6	0.77	0.64	0.84	0.73	0.71
38.7	0.69	0.62	0.88	0.75	0.7
38.8	0.38	0.72	0.95	0.77	0.72
38.9	0.78	0.66	0.92	0.73	0.73
39.0	0.74	0.58	0.75	0.76	0.69
39.1	0.79	0.7	1.02	0.78	0.7
39.2	0.84	0.9	0.77	0.75	0.73
39.3	0.66	0.87	0.95	0.81	0.7
39.4	0.78	0.49	0.66	0.8	0.7
39.5	0.83	0.77	0.92	0.81	0.75
39.6	0.73	0.69	0.97	0.75	0.73
39.7	0.74	0.76	0.82	0.69	0.73
39.8	0.74	0.61	0.91	0.81	0.81
39.9	0.74	0.68	0.81	0.72	0.69
40.0	0.47	0.59	0.71	0.81	0.76
40.1	0.41	0.68	1.01	0.74	0.74
40.2	0.36	0.74	0.71	0.72	0.67
40.3	0.54	0.61	0.83	0.84	0.74
40.4	0.42	0.53	0.81	0.73	0.72
40.5	0.24	0.77	0.6	0.82	0.74
40.6	0.35	0.65	0.93	0.79	0.7
40.7	0.43	0.61	0.86	0.76	0.71
40.8	0.36	0.67	0.96	0.76	0.72
40.9	0.42	0.72	0.76	0.76	0.73
41.0	0.45	0.73	0.88	0.74	0.73
41.1	0.57	0.7	0.89	0.71	0.78
41.2	0.57	0.74	0.92	0.75	0.7
41.3	0.5	0.61	0.85	0.94	0.67
41.4	0.88	0.79	0.85	0.93	0.76
41.5	0.61	0.71	0.84	0.88	0.65
41.6	0.62	0.79	0.73	0.77	0.73
41.7	0.68	0.65	0.76	0.76	0.69
41.8	0.61	0.74	0.74	0.74	0.74
41.9	0.6	0.76	0.83	0.43	0.69
42.0	0.63	0.71	0.97	0.47	0.71
42.1	0.56	0.52	0.7	0.61	0.71
42.2	0.61	0.76	0.82	0.5	0.74
42.3	0.59	0.69	0.7	0.48	0.72
42.4	0.7	0.62	0.4	0.4	0.71
42.5	0.59	0.56	0.49	0.52	0.71
42.6	0.57	0.61	0.37	0.54	0.74
42.7	0.63	0.83	0.41	0.45	0.73
42.8	0.52	0.53	0.54	0.61	0.72
42.9	0.63	0.66	0.5	0.28	0.66
43.0	0.71	0.67	0.65	0.3	0.73
43.1	0.65	0.71	0.43	0.41	0.68
43.2	0.67	0.62	0.34	0.22	0.73
43.3	0.56	0.62	0.63	0.59	0.79
43.4	0.77	0.64	0.48	0.44	0.73
43.5	0.66	0.74	0.81	0.48	0.69
43.6	0.7	0.73	0.82	0.46	0.71
43.7	0.62	0.76	0.7	0.77	0.74
43.8	0.84	0.59	0.84	0.73	0.74
43.9	0.51	0.67	0.87	0.74	0.71
44.0	0.34	0.62	0.95	0.74	0.72
44.1	0.73	0.63	0.57	0.73	0.7
44.2	0.77	0.61	0.81	0.73	0.71
44.3	0.4	0.73	0.67	0.74	0.71
44.4	0.37	0.68	0.59	0.73	0.73
44.5	0.65	0.62	0.77	0.72	0.72
44.6	0.45	0.55	0.79	0.82	0.72
44.7	0.55	0.58	0.91	0.74	0.69
44.8	0.57	0.58	0.79	0.81	0.7
44.9	0.37	0.68	0.67	0.74	0.75
45.0	0.57	0.67	0.51	0.73	0.71
45.1	0.31	0.64	0.96	0.75	0.69
45.2	0.63	0.67	1.0	0.78	0.73
45.3	0.45	0.75	0.74	0.8	0.75
45.4	0.73	0.63	0.64	0.71	0.7
45.5	0.76	0.75	0.79	0.74	0.74
45.6	0.69	0.64	1.05	0.74	0.74
45.7	0.71	0.68	0.56	0.78	0.72
45.8	0.62	0.59	0.59	0.81	0.71
45.9	0.7	0.73	0.77	0.75	0.72
46.0	0.58	0.72	0.89	0.86	0.7
46.1	0.85	0.63	0.84	0.95	0.62
46.2	0.79	0.68	0.71	0.95	0.73
46.3	0.7	0.61	0.76	0.89	0.72
46.4	0.55	0.54	0.76	0.97	0.69
46.5	0.71	0.69	0.93	0.97	0.71
46.6	0.55	0.72	0.48	0.96	0.71
46.7	0.66	0.59	0.63	0.91	0.76
46.8	0.83	0.69	0.72	0.91	0.74
46.9	0.62	0.67	0.62	0.93	0.71
47.0	0.71	0.66	0.85	0.89	0.67
47.1	0.85	0.64	0.77	1.0	0.73
47.2	0.73	0.7	0.82	0.98	0.81
47.3	0.71	0.7	0.84	0.88	0.77
47.4	0.78	0.65	0.81	0.94	0.68
47.5	0.61	0.74	0.61	0.93	0.77
47.6	0.64	0.75	0.84	0.95	0.73
47.7	0.76	0.62	0.83	0.95	0.69
47.8	0.75	0.71	0.67	1.01	0.79
47.9	0.71	0.68	0.86	0.95	0.74
48.0	0.79	0.65	0.79	1.0	0.71
48.1	0.78	0.68	0.84	0.97	0.57
48.2	0.5	0.69	0.88	0.85	0.7
48.3	0.71	0.67	0.87	0.99	0.77
48.4	0.6	0.53	0.88	0.95	0.85
48.5	0.54	0.6	0.85	0.93	0.54
48.6	0.72	0.66	0.92	0.74	0.65
48.7	0.73	0.55	0.91	0.86	0.52
48.8	0.73	0.71	0.77	0.58	0.65
48.9	0.76	0.79	0.86	0.72	0.79
49.0	0.78	0.78	0.78	0.76	0.72
49.1	0.74	0.77	0.86	0.58	0.74
49.2	0.83	0.73	0.87	0.7	0.77
49.3	0.7	0.68	0.95	0.74	0.75
49.4	0.71	0.68	0.77	0.75	0.73
49.5	0.71	0.64	0.82	0.75	0.79
49.6	0.7	0.67	0.91	0.73	0.72
49.7	0.77	0.71	0.85	0.88	0.73
49.8	0.72	0.8	0.59	0.95	0.78
49.9	0.89	0.8	0.59	0.74	0.76
50.0	0.57	0.79	0.54	0.79	0.69
50.1	0.68	0.77	0.56	0.76	0.74
50.2	0.59	0.72	0.8	0.73	0.74
50.3	0.63	0.65	0.67	0.76	0.74
50.4	0.58	0.74	0.69	0.8	0.82
50.5	0.62	0.61	0.74	0.77	0.83
50.6	0.79	0.7	0.66	0.81	0.72
50.7	0.78	0.76	0.63	0.84	0.3
50.8	0.66	0.5	0.74	0.73	0.38
50.9	0.83	0.62	0.69	0.72	0.22
51.0	0.7	0.69	0.63	0.77	0.4
51.1	0.68	0.68	0.59	0.82	0.35
51.2	0.81	0.68	0.56	0.85	0.28
51.3	0.91	0.73	0.61	0.91	0.26
51.4	0.74	0.68	0.82	0.78	0.31
51.5	0.7	0.72	0.61	0.77	0.37
51.6	0.72	0.68	0.82	0.55	0.25
51.7	0.63	0.73	0.81	0.85	0.22
51.8	0.78	0.72	0.59	0.78	0.33
51.9	0.73	0.6	0.65	0.99	0.3
52.0	0.85	0.64	0.52	0.92	0.35
52.1	0.71	0.69	0.61	0.99	0.27
52.2	0.79	0.73	0.64	0.94	0.43
52.3	0.75	0.61	0.56	0.92	0.42
52.4	0.73	0.75	0.93	1.0	0.24
52.5	0.76	0.72	0.77	0.91	0.31
52.6	0.7	0.52	0.81	1.0	0.31
52.7	0.66	0.76	0.46	1.01	0.28
52.8	0.75	0.69	0.85	0.96	0.22
52.9	1.03	0.76	0.8	0.93	0.37
53.0	0.67	0.76	0.66	0.9	0.31
53.1	0.59	0.69	0.68	0.97	0.19
53.2	0.34	0.54	0.74	0.91	0.32
53.3	0.77	0.78	0.63	0.95	0.33
53.4	0.73	0.61	0.91	0.86	0.3
53.5	0.7	0.56	0.86	0.98	0.43
53.6	0.81	0.49	0.73	0.82	0.31
53.7	0.82	0.67	0.89	0.74	0.5
53.8	0.84	0.8	0.89	0.73	0.32
53.9	0.75	0.75	0.74	0.72	0.28
54.0	0.55	0.66	0.81	0.77	0.16
54.1	0.59	0.73	0.76	0.92	0.34
54.2	0.44	0.79	0.67	0.85	0.41
54.3	0.44	0.74	0.81	0.61	0.42
54.4	0.38	0.7	0.79	0.58	0.24
54.5	0.52	0.78	0.84	0.59	0.44
54.6	0.44	0.69	0.71	0.5	0.25
54.7	0.65	0.75	0.69	0.47	0.72
54.8	0.56	0.77	0.55	0.41	0.57
54.9	0.26	0.66	0.69	0.47	0.84
55.0	0.61	0.63	0.67	0.45	0.84
55.1	0.49	0.69	0.62	0.57	0.69
55.2	0.69	0.69	0.57	0.84	0.73
55.3	0.53	0.68	0.66	0.83	0.57
55.4	0.54	0.7	0.87	0.78	0.74
55.5	0.83	0.63	0.59	0.77	0.77
55.6	0.51	0.77	0.67	0.79	0.76
55.7	0.83	0.63	0.59	0.81	0.41
55.8	0.66	0.74	0.6	0.77	0.48
55.9	0.73	0.63	0.6	0.76	0.41
56.0	0.77	0.63	0.72	0.79	0.5
56.1	0.5	0.8	0.82	0.76	0.92
56.2	0.55	0.67	0.59	0.73	0.74
56.3	0.72	0.55	0.61	0.81	0.64
56.4	0.63	0.6	0.74	0.72	0.73
56.5	0.5	0.7	0.76	0.79	0.76
56.6	0.7	0.61	0.58	0.73	0.61
56.7	0.72	0.6	0.79	0.77	0.73
