Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
47.7	2.88	3.34	2.36	2.88	2.59
47.8	2.95	3.26	2.37	2.83	2.59
47.9	2.76	3.2	2.4	2.84	2.69
48.0	2.94	3.14	2.4	2.75	2.62
48.1	2.9	3.09	2.38	2.8	2.65
48.2	2.79	3.04	2.39	2.88	2.57
48.3	2.87	3.02	2.28	2.89	2.65
48.4	2.79	3.07	2.3	2.88	2.6
48.5	2.92	3.12	2.39	2.88	2.5
48.6	2.9	3.22	2.54	2.75	2.69
48.7	2.9	3.2	2.43	2.85	2.66
48.8	2.77	3.21	2.44	2.8	2.55
48.9	2.77	3.13	2.55	2.81	2.56
49.0	2.96	3.25	2.53	2.75	2.36
49.1	2.81	3.23	2.5	2.76	2.41
49.2	2.83	3.34	2.63	2.8	2.54
49.3	2.96	3.29	2.51	2.87	2.56
49.4	2.91	3.3	2.71	2.84	2.54
49.5	2.96	3.27	2.67	2.79	2.43
49.6	2.78	3.14	2.66	2.9	2.46
49.7	2.86	3.17	2.62	2.67	2.46
49.8	2.91	3.35	2.74	2.6	2.45
49.9	2.83	3.41	2.69	2.63	2.59
50.0	2.78	3.31	2.68	2.59	2.69
50.1	2.95	3.33	2.73	2.72	2.57
50.2	2.93	3.18	2.66	2.63	2.61
50.3	2.8	3.05	2.83	2.57	2.56
50.4	2.77	3.07	2.81	2.62	2.7
50.5	2.77	2.95	2.72	2.65	2.49
50.6	2.85	3.03	2.76	2.61	2.45
50.7	2.94	3.08	2.7	2.6	2.39
50.8	2.88	2.94	2.84	2.65	2.33
50.9	2.97	2.9	2.67	2.74	2.31
51.0	3.01	3.11	2.82	2.78	2.3
51.1	2.95	3.11	2.9	2.68	2.32
51.2	2.99	3.05	2.77	2.78	2.29
51.3	3.12	3.05	2.77	2.83	2.25
51.4	2.97	3.24	2.78	2.75	2.24
51.5	2.95	3.05	2.93	2.65	2.21
51.6	3.08	2.9	2.85	2.7	2.27
51.7	3.03	2.86	2.88	2.89	2.18
51.8	2.99	2.89	2.94	2.93	2.18
51.9	2.98	2.9	2.81	2.83	2.24
52.0	2.93	2.92	2.92	2.86	2.19
52.1	2.87	2.92	2.64	2.89	2.24
52.2	2.89	2.95	2.77	2.95	2.36
52.3	2.88	3.01	2.95	2.78	2.36
52.4	2.84	3.0	2.91	2.85	2.41
52.5	2.73	3.02	2.79	2.87	2.52
52.6	2.79	2.92	3.03	2.83	2.45
52.7	2.86	2.94	3.04	2.8	2.56
52.8	2.88	2.95	2.87	2.79	2.45
52.9	2.84	2.92	3.04	2.83	2.51
53.0	2.81	2.9	2.87	2.85	2.48
53.1	2.94	2.95	2.9	2.88	2.45
53.2	2.86	3.03	2.82	2.85	2.27
53.3	2.74	2.91	2.83	2.87	2.31
53.4	2.83	2.86	2.87	2.81	2.35
53.5	2.75	2.9	2.8	2.66	2.42
53.6	2.67	2.89	2.9	2.69	2.54
53.7	2.75	3.03	2.93	2.63	2.42
53.8	2.7	3.06	2.84	2.6	2.28
53.9	2.63	3.03	2.75	2.62	2.37
54.0	2.68	3.03	2.83	2.71	2.26
54.1	2.6	2.98	2.7	2.8	2.29
54.2	2.76	3.08	2.64	2.84	2.32
54.3	2.55	2.89	2.84	2.8	2.4
54.4	2.7	3.03	2.72	2.84	2.26
54.5	2.74	2.99	2.62	2.94	2.27
54.6	2.68	3.08	2.55	2.92	2.24
54.7	2.82	3.07	2.49	2.91	2.28
54.8	2.75	3.27	2.44	2.87	2.26
54.9	2.71	3.18	2.53	2.81	2.35
55.0	2.72	3.2	2.62	2.86	2.21
55.1	2.8	3.18	2.63	2.86	2.24
55.2	2.66	3.13	2.61	2.76	2.13
55.3	2.7	3.16	2.7	2.75	2.24
55.4	2.75	3.13	2.7	2.73	2.33
55.5	2.79	3.26	2.71	2.78	2.34
55.6	2.8	3.25	2.9	2.88	2.34
55.7	2.77	3.07	2.81	2.87	2.43
55.8	2.7	3.12	2.68	2.91	2.51
55.9	2.81	3.14	2.65	2.74	2.43
56.0	2.93	3.07	2.79	2.74	2.29
56.1	2.89	3.08	2.76	2.78	2.33
56.2	2.8	3.1	2.87	2.74	2.42
56.3	2.72	3.24	2.64	2.71	2.45
56.4	2.93	3.23	2.8	2.76	2.36
56.5	2.87	3.21	2.86	2.74	2.39
56.6	2.83	3.21	2.82	2.81	2.43
56.7	2.7	3.3	2.84	2.7	2.48
